lane	queue_index	plan_id	mhlw_plan_code	facility_id	prefecture	facility	category	treatment_class	status	amount	tax	unit	products	makers	document_url	ranking_eligible	merge_status	qc_reason
A	151	P00791	01E2605008	F0537	大阪府	ひらまつ整形外科 難波膝スポーツクリニック	第二種	PRP	AUTO	150000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605008/5/0	true	READY_AUTO	line-level medium price context
A	152	P00792	03E2512006	F0538	大阪府	まつうら整形・肩肘スポーツクリニック	第二種	PRP	QC	300000	不明	両側	Angel	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2512006/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	152	P00792	03E2512006	F0538	大阪府	まつうら整形・肩肘スポーツクリニック	第二種	PRP	QC	49000	不明	片側	ACP|Angel	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2512006/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	152	P00792	03E2512006	F0538	大阪府	まつうら整形・肩肘スポーツクリニック	第二種	PRP	QC	250000	不明	両側	Angel	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2512006/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	153	P00793	01E2511016	F0539	大阪府	アスレティックス整形外科肩膝スポーツクリニック	第二種	PRP	AUTO	55000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2511016/5/0	true	READY_AUTO	line-level medium price context
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	990000	税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	1190000	税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	1290000	税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	100000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	990000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	1190000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	1290000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	990000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	1190000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	1290000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	1990000	税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	1990000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	154	P00794	01E2504015	F0540	大阪府	ソラリス整形外科 大阪 福島リハビリテーションクリニック	第二種	脂肪由来MSC	AUTO	50000	税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0	true	READY_AUTO	
A	155	P00795	03E2601008	F0541	大阪府	トリニティクリニック大阪	第二種	脂肪由来MSC	QC	1400000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601008/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	156	P00835	03E2506015	F0570	大阪府	リセリングクリニック	第二種	脂肪由来MSC	QC	300000	不明	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2506015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	156	P00835	03E2506015	F0570	大阪府	リセリングクリニック	第二種	脂肪由来MSC	QC	3000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2506015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	156	P00835	03E2506015	F0570	大阪府	リセリングクリニック	第二種	脂肪由来MSC	QC	40000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2506015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	156	P00835	03E2506015	F0570	大阪府	リセリングクリニック	第二種	脂肪由来MSC	QC	300000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2506015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	156	P00835	03E2506015	F0570	大阪府	リセリングクリニック	第二種	脂肪由来MSC	QC	2000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2506015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	156	P00835	03E2506015	F0570	大阪府	リセリングクリニック	第二種	脂肪由来MSC	QC	40000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2506015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	156	P00835	03E2506015	F0570	大阪府	リセリングクリニック	第二種	脂肪由来MSC	QC	2000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2506015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	156	P00835	03E2506015	F0570	大阪府	リセリングクリニック	第二種	脂肪由来MSC	QC	3000	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2506015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
A	157	P00836	03E2506016	F0570	大阪府	リセリングクリニック	第二種	PRP	QC	5500	不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2506016/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
