lane	queue_index	plan_id	mhlw_plan_code	facility_id	prefecture	facility	category	treatment_class	status	amount	tax	unit	products	makers	document_url	ranking_eligible	merge_status	qc_reason
C	1	P00302	01C2503075	F0207	東京都	AR-Ex尾山台整形外科	第三種	PRP	QC	50000	税別	1 回(1 部位)	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503075/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
C	1	P00302	01C2503075	F0207	東京都	AR-Ex尾山台整形外科	第三種	PRP	QC	150000	不明	1 回(1 部位)	ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503075/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
C	1	P00302	01C2503075	F0207	東京都	AR-Ex尾山台整形外科	第三種	PRP	QC	35000	不明	1 回(1 部位)	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503075/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
C	1	P00302	01C2503075	F0207	東京都	AR-Ex尾山台整形外科	第三種	PRP	QC	95000	不明	1 回(1 部位)	ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503075/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
C	2	P00304	01C2502013	F0213	東京都	RiCarna Clinic	第三種	PRP	AUTO	220000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2502013/5/0	true	READY_AUTO	line-level strong price context
C	3	P00305	03C2510017	F0214	東京都	SBC整形外科クリニック西新宿本院	第三種	PRP	AUTO	40000	不明	1回	GPS|MyCells	Zimmer Biomet|MyCells系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2510017/5/0	true	READY_AUTO	
C	3	P00305	03C2510017	F0214	東京都	SBC整形外科クリニック西新宿本院	第三種	PRP	AUTO	170000	不明	1回	GPS|MyCells	Zimmer Biomet|MyCells系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2510017/5/0	true	READY_AUTO	
C	3	P00305	03C2510017	F0214	東京都	SBC整形外科クリニック西新宿本院	第三種	PRP	AUTO	308000	不明	1回	GPS|MyCells	Zimmer Biomet|MyCells系	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2510017/5/0	true	READY_AUTO	
C	4	P00306	01C2602015	F0216	東京都	TAO Clinic	第三種	PRP	QC	200000	不明		Angel	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
C	4	P00306	01C2602015	F0216	東京都	TAO Clinic	第三種	PRP	QC	30000	不明		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
C	4	P00306	01C2602015	F0216	東京都	TAO Clinic	第三種	PRP	QC	100000	不明		ACP MAX|ACP|Angel	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602015/5/0	false	REVIEW_QC_CANDIDATE	price candidates remain ambiguous
C	5	P00237	03C2503010	F0218	東京都	TOKYOひまわりクリニック	第二種	脂肪由来MSC	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2503010/5/0	false	REVIEW_QC_NO_PRICE	no price found after rescue text/OCR pass
C	6	P00324	01C2211010	F0225	東京都	アーモンドクリニック	第二種	脂肪由来幹細胞	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2211010/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
C	7	P00307	03C2110022	F0230	東京都	ガーデンクリニック ザ・ホワイトデンタルクリニック 品川院	第三種	PRP	AUTO	319000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2110022/5/0	true	READY_AUTO	
C	8	P00308	01C2409027	F0231	東京都	キヤンメディカルクリニック虎ノ門	第三種	PRP	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2409027/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
C	9	P00238	02C2607007	F0239	東京都	リソークリニック	第二種	脂肪/滑膜由来MSC	AUTO	498000	税別	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2607007/5/0	true	READY_AUTO	
