prefecture	facility	mhlw_plan_codes	manufacturer	source_operator	source_products	match_type	evidence_level	source_url	note
東京都	おかのクリニック	01C2205034|01C2205035	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
東京都	すみだ運動器リハビリテーションクリニック	01C2302048	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
東京都	医療法人社団 山手クリニック	01C2310059	Arthrex	Arthrex	ACP-PRP	EXACT_LEGAL_STRIPPED	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
東京都	順天堂大学医学部附属練馬病院	03C2308020|03C2308021	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
滋賀県	公立甲賀病院	01E2307011|01E2307012	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
神奈川県	ほんだ整形外科クリニック	01C2105005	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
神奈川県	医療法人横浜未来ヘルスケアシステム 戸塚共立第2病院	02C2508001|02C2508002	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
福岡県	とも整形外科スポーツクリニック	01G1906001|01G2001007	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
福岡県	櫛田学整形外科クリニック	01G2107003	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
群馬県	慶友整形外科クリニック	01C1906015|01C1910017	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
長野県	医療法人弘仁会 かもいクリニック	01C2210029|01C2210030	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
静岡県	富士整形外科病院	02D2510005|02D2510006	Arthrex	Arthrex	ACP-PRP|HD-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
香川県	高松南整形外科スポーツクリニック	01F2203001|01F2203002	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
鹿児島県	天陽会中央クリニック	01G2110006	Arthrex	Arthrex	ACP-PRP	EXACT_STRICT	MANUFACTURER_OPERATED_LOCATOR_EXACT	https://seikei-saisei.jp/institution.html	Arthrex Japan-operated facility locator explicitly lists ACP-PRP.
