lane	queue_index	plan_id	mhlw_plan_code	facility_id	prefecture	facility	category	treatment_class	status	amount	tax	unit	products	makers	document_url	ranking_eligible	merge_status	qc_reason
B	251	P00454	02E2309019	F0141	奈良県	近畿大学奈良病院	第二種	PRP	AUTO	49000	税込		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2309019/5/0	true	READY_AUTO	line-level strong price context
B	251	P00454	02E2309019	F0141	奈良県	近畿大学奈良病院	第二種	PRP	AUTO	150000	税込		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2309019/5/0	true	READY_AUTO	line-level strong price context
B	251	P00454	02E2309019	F0141	奈良県	近畿大学奈良病院	第二種	PRP	AUTO	300000	税込		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2309019/5/0	true	READY_AUTO	line-level strong price context
B	251	P00454	02E2309019	F0141	奈良県	近畿大学奈良病院	第二種	PRP	AUTO	2000	税込		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2309019/5/0	true	READY_AUTO	line-level strong price context
B	252	P00364	01E2307011	F0340	滋賀県	公立甲賀病院	第二種	PRP	AUTO	45000	税込	両側			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2307011/5/0	true	READY_AUTO	line-level strong price context
B	253	P00365	02E2512023	F0339	滋賀県	医療法人はたスポーツ整形クリニック	第二種	PRP	AUTO	55000	税込		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2512023/5/0	true	READY_AUTO	
B	253	P00365	02E2512023	F0339	滋賀県	医療法人はたスポーツ整形クリニック	第二種	PRP	AUTO	132000	税込		ACP MAX|ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2512023/5/0	true	READY_AUTO	
B	254	P00366	01E2412010	F0342	滋賀県	医療法人翠蓮会 とがの整形外科クリニック	第二種	PRP	AUTO	55000	税込	両側			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2412010/5/0	true	READY_AUTO	line-level strong price context
B	255	P00367	01E2402012	F0341	滋賀県	東近江市立能登川病院	第三種	PRP	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2402012/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
B	256	P00503	03F2208001	F0156	山口県	医療法人社団 宇部興産中央病院	第三種	PRP	AUTO	30000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2208001/5/0	true	READY_AUTO	
B	257	P00497	01F2206003	F0156	山口県	医療法人社団 宇部興産中央病院	第二種	PRP	AUTO	55000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2206003/5/0	true	READY_AUTO	
B	257	P00497	01F2206003	F0156	山口県	医療法人社団 宇部興産中央病院	第二種	PRP	AUTO	88000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2206003/5/0	true	READY_AUTO	
B	258	P00501	03F2602001	F0157	山口県	山口県厚生農業協同組合連合会 小郡第一総合病院	第二種	PRP	AUTO	150000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2602001/5/0	true	READY_AUTO	
B	258	P00501	03F2602001	F0157	山口県	山口県厚生農業協同組合連合会 小郡第一総合病院	第二種	PRP	AUTO	2000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2602001/5/0	true	READY_AUTO	
B	258	P00501	03F2602001	F0157	山口県	山口県厚生農業協同組合連合会 小郡第一総合病院	第二種	PRP	AUTO	300000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2602001/5/0	true	READY_AUTO	
B	259	P00502	01F2305001	F0158	山口県	森山整形クリニック	第二種	PRP	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2305001/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
B	260	P00477	01F2512002	F0167	岡山県	あゆみ整形ハンドクリニック	第三種	PRP	AUTO	100000	不明	1部位	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2512002/5/0	true	READY_AUTO	
B	261	P00474	01F2602001	F0167	岡山県	あゆみ整形ハンドクリニック	第二種	PRP	AUTO	100000	税別	1部位	APS|GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2602001/5/0	true	READY_AUTO	
B	261	P00474	01F2602001	F0167	岡山県	あゆみ整形ハンドクリニック	第二種	PRP	AUTO	300000	税別	1部位	APS|GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2602001/5/0	true	READY_AUTO	
B	261	P00474	01F2602001	F0167	岡山県	あゆみ整形ハンドクリニック	第二種	PRP	AUTO	80000	不明		APS|GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2602001/5/0	true	READY_AUTO	
