rank	prefecture	facility	core_sources	facility_ids	plan_codes	core_address	manufacturer	product	locator_name	locator_address	name_match	address_match	score	confidence	eligible_for_next	reason	source_url
1	神奈川県	医療法人社団三穂会 三宅整形外科小児科クリニック	V41		01C2411084|01C2411085	横須賀市浦賀5-2-3	Zimmer Biomet	APS	医療法人社団三穂会 三宅整形外科小児科クリニック	〒239-0822 神奈川県横須賀市浦賀5-2-3	NORMALIZED_EXACT	ADDRESS_EXACT	100	HIGH	YES	Exact normalized facility match or address agreement in manufacturer-operated locator.	https://m.kansetsu-life.com/saisei/index.php
2	福岡県	医療法人 同信会 福岡整形外科病院	V41		02G2412004	福岡市南区柳河内2-10-50	Zimmer Biomet	APS	医療法人同信会 福岡整形外科病院	〒815-0063 福岡県福岡市南区柳河内2丁目10-50	NORMALIZED_EXACT	ADDRESS_EXACT	100	HIGH	YES	Exact normalized facility match or address agreement in manufacturer-operated locator.	https://m.kansetsu-life.com/saisei/index.php
3	鹿児島県	南風病院	V40_STAGE	F0434			Arthrex	ACP-PRP	南風病院		NORMALIZED_EXACT	NONE	100	HIGH	YES	Exact normalized facility match or address agreement in manufacturer-operated locator.	https://seikei-saisei.jp/institution.html
4	東京都	医療法人アレックス AR-Ex尾山台整形外科	V41		01C2309066	世田谷区等々力4丁目13−1	Arthrex	ACP-PRP|HD-PRP	AR-Ex 尾山台整形外科		CONTAINS	NONE	92	REVIEW	YES	Name containment match; manual identity check required.	https://seikei-saisei.jp/institution.html
5	群馬県	社会医療法人慶友会 慶友整形外科クリニック	MAKER_RECOVERY|V41		01C2605017|01C2605018	館林市羽附町1741	Arthrex	ACP-PRP	慶友整形外科クリニック		CONTAINS	NONE	92	REVIEW	YES	Name containment match; manual identity check required.	https://seikei-saisei.jp/institution.html
6	静岡県	医療法人社団髙伸会 伊豆高原メディカル たかやなぎ整形外科	V40_STAGE	F0479	01D2210003		Arthrex	ACP-PRP	伊豆高原メディカル たかやなぎ整形外科		CONTAINS	NONE	92	REVIEW	YES	Name containment match; manual identity check required.	https://seikei-saisei.jp/institution.html
7	大阪府	ISクリニック	V40_STAGE	F0530	02E2501015		Zimmer Biomet	PRP	ISクリニック	〒550-0004 大阪府大阪市西区靭本町1-7-9 靭イーストビル1F	NORMALIZED_EXACT	NONE	100	HOLD_POLICY	NO	Zimmer locator is PRP-only; APS/GPS not established.	https://m.kansetsu-life.com/saisei/index.php
8	大阪府	医療法人 再生会 そばじまクリニック	MAKER_RECOVERY|V40_STAGE|V41	F0547	01E2104007|01E2104007|01E2304028|02E2404043|03E2103014|03E2103016|03E2103018|01E2304028|02E2404043|03E2103014|03E2103016|03E2103018	東大阪市荒本北2-2-6 クリニックコート東野1F,2F,3F	Zimmer Biomet	PRP	医療法人再生会 そばじまクリニック	〒577-0011 大阪府東大阪市荒本北2-2-6 クリニックコート東野1F・2F	NORMALIZED_EXACT	ADDRESS_CONTAINS	100	HOLD_POLICY	NO	Zimmer locator is PRP-only; APS/GPS not established.	https://m.kansetsu-life.com/saisei/index.php
9	東京都	医療法人社団研裕会 紀尾井町プラザクリニック歯科・美容外科	V40_STAGE|V41	F0306	01C2505020|01C2505053|01C2509061	千代田区紀尾井町3番12号紀尾井町ビル 2階	Zimmer Biomet	PRP	紀尾井町プラザクリニック	〒102-0094 東京都千代田区紀尾井町3-12 紀尾井町ビル2F	CONTAINS	NONE	92	HOLD_POLICY	NO	Zimmer locator is PRP-only; APS/GPS not established.	https://m.kansetsu-life.com/saisei/index.php
