plan_id	mhlw_plan_code	prefecture	facility	category	treatment_class	price_status	amount	amount_min	amount_max	tax	unit	product	maker	plan_evidence_url	price_source	merge_status
V41_02C2203008	02C2203008	東京都	独立行政法人労働者健康安全機構　東京労災病院	第二種	APS/PRP	価格確定	77000			税込		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2203008/5/0	AUTO	READY
V41_02C2203008	02C2203008	東京都	独立行政法人労働者健康安全機構　東京労災病院	第二種	APS/PRP	価格確定	80000			税込		PEAK	PEAK系	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2203008/5/0	AUTO	READY
V41_02C2203008	02C2203008	東京都	独立行政法人労働者健康安全機構　東京労災病院	第二種	APS/PRP	価格確定	330000			税込		APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2203008/5/0	AUTO	READY
V41_01C2509004	01C2509004	東京都	白山リハビリ整形外科	第三種	PRP	価格確定	50000			税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509004/5/0	AUTO	READY
V41_01C2509004	01C2509004	東京都	白山リハビリ整形外科	第三種	PRP	価格確定	55000			税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509004/5/0	AUTO	READY
V41_01C2508064	01C2508064	東京都	白金高輪やまと整形外科	第二種	PRP	価格確定	60500			税込	1関節・1部位	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2508064/5/0	AUTO	READY
V41_01C2508064	01C2508064	東京都	白金高輪やまと整形外科	第二種	PRP	価格確定	110000			税込	1関節・1部位・ACPダブル	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2508064/5/0	AUTO	READY
V41_01C2508064	01C2508064	東京都	白金高輪やまと整形外科	第二種	PRP	価格確定	209000			税込	1関節・1部位	ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2508064/5/0	AUTO	READY
V41_01C2508067	01C2508067	東京都	白金高輪やまと整形外科	第三種	PRP	価格確定	55000			税別		ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2508067/5/0	AUTO	READY
V41_01C2508067	01C2508067	東京都	白金高輪やまと整形外科	第三種	PRP	価格確定	100000			税別		ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2508067/5/0	AUTO	READY
