rank	prefecture	facility	core_sources	facility_ids	plan_codes	core_address	manufacturer	product	locator_name	locator_address	name_match	address_match	score	confidence	eligible_for_next	reason	source_url
1	大分県	明野中央病院	V40_NONQUEUE	F0106		大分市明野東2-7-33	Zimmer Biomet	APS	医療法人社団唱和会 明野中央病院	〒870-0161 大分県大分市明野東2丁目7番33号	CONTAINS	ADDRESS_EXACT	100	HIGH	YES	Exact normalized facility match or address agreement in manufacturer-operated locator.	https://m.kansetsu-life.com/saisei/index.php
2	沖縄県	同仁病院	V40_NONQUEUE	F0336		浦添市城間1-37-12	Zimmer Biomet	APS	医療法人八重瀬会 同仁病院	〒901-2133 沖縄県浦添市城間1-37-12	NONE	ADDRESS_EXACT	100	HIGH	YES	Exact normalized facility match or address agreement in manufacturer-operated locator.	https://m.kansetsu-life.com/saisei/index.php
3	福岡県	福岡志恩病院	V40_NONQUEUE	F0388		小郡市美鈴が丘1-5-3	Zimmer Biomet	APS	医療法人オアシス 福岡志恩病院	〒838-0101 福岡県小郡市美鈴が丘1-5-3	CONTAINS	ADDRESS_EXACT	100	HIGH	YES	Exact normalized facility match or address agreement in manufacturer-operated locator.	https://m.kansetsu-life.com/saisei/index.php
4	鹿児島県	今林整形外科病院	V40_NONQUEUE	F0433		指宿市十町352-2	Arthrex	ACP-PRP	今林整形外科病院		NORMALIZED_EXACT	NONE	100	HIGH	YES	Exact normalized facility match or address agreement in manufacturer-operated locator.	https://seikei-saisei.jp/institution.html
5	鹿児島県	霧島整形外科クリニック	V40_NONQUEUE	F0438		霧島市国分野口東8-31	Arthrex	ACP-PRP	霧島整形外科クリニック		NORMALIZED_EXACT	NONE	100	HIGH	YES	Exact normalized facility match or address agreement in manufacturer-operated locator.	https://seikei-saisei.jp/institution.html
6	鹿児島県	霧島整形外科クリニック	V40_NONQUEUE	F0438		霧島市国分野口東8-31	Zimmer Biomet	APS	医療法人術徳会 霧島整形外科/霧島整形外科クリニック	〒899-4341 鹿児島県霧島市国分野口東8-31	CONTAINS	ADDRESS_EXACT	100	HIGH	YES	Exact normalized facility match or address agreement in manufacturer-operated locator.	https://m.kansetsu-life.com/saisei/index.php
