lane	queue_index	plan_id	mhlw_plan_code	facility_id	prefecture	facility	category	treatment_class	status	amount	tax	unit	products	makers	document_url	ranking_eligible	merge_status	qc_reason
A	201	P00858	02E2603026	F0588	大阪府	医療法人美喜有会 リペアセルクリニック	第二種	脂肪由来幹細胞	AUTO	1320000	税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2603026/5/0	true	READY_AUTO	
A	202	P00864	01E2004009	F0591	大阪府	医療法人良花会 整形外科とくはらクリニック	第三種	PRP	AUTO	30000	税別	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2004009/5/0	true	READY_AUTO	
A	202	P00864	01E2004009	F0591	大阪府	医療法人良花会 整形外科とくはらクリニック	第三種	PRP	AUTO	80000	税別	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2004009/5/0	true	READY_AUTO	
A	203	P00865	01E2308005	F0123	大阪府	医療法人荒巻会 あらまき整形外科クリニック	第三種	PRP	AUTO	55000	不明		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2308005/5/0	true	READY_AUTO	
A	203	P00865	01E2308005	F0123	大阪府	医療法人荒巻会 あらまき整形外科クリニック	第三種	PRP	AUTO	66000	不明		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2308005/5/0	true	READY_AUTO	
A	204	P00869	01E2506026	F0593	大阪府	社会医療法人 大阪国際メディカル＆サイエンスセンター 大阪警察病院	第三種	PRP	AUTO	33000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506026/5/0	true	READY_AUTO	line-level medium price context
A	204	P00869	01E2506026	F0593	大阪府	社会医療法人 大阪国際メディカル＆サイエンスセンター 大阪警察病院	第三種	PRP	AUTO	44000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506026/5/0	true	READY_AUTO	line-level medium price context
A	205	P00868	03E2409027	F0592	大阪府	社会医療法人 大阪国際メディカル＆サイエンスセンター 第二大阪警察病院	第三種	PRP	AUTO	33000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2409027/5/0	true	READY_AUTO	
A	206	P00866	03E2502009	F0117	大阪府	社会医療法人ONE FLAG おおさかグローバル整形外科病院	第三種	PRP	AUTO	35000	税別		ACP|GPS|Zimmer|Arthrex	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2502009/5/0	true	READY_AUTO	
A	206	P00866	03E2502009	F0117	大阪府	社会医療法人ONE FLAG おおさかグローバル整形外科病院	第三種	PRP	AUTO	100000	税別		ACP|GPS|Zimmer|Arthrex	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2502009/5/0	true	READY_AUTO	
A	207	P00867	03E2603011	F0120	大阪府	社会医療法人報恩会 長吉総合病院	第三種	PRP	AUTO	33000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603011/5/0	true	READY_AUTO	
