candidate_type,kind,prefecture,facility,address,treatment,treatment_class,existing_facility_name,existing_address,same_address_plan_id,same_address_facility,facility_name_similarity,duplicate_current_rows,document_urls
new_facility,2,岡山県,医療法人社団きびじ整形外科・内科・リハビリクリニック,総社市岡谷337番1,変形性関節症を対象とした自家多血小板血漿（PRP）注入療法,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2601001/5/0
new_facility,3,岡山県,医療法人社団河合会 新倉敷メディカルスクエア,倉敷市玉島1719,多血小板血漿(PRP)の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02F1907018/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/02F1907018/5/1
new_facility,2,岡山県,医療法人社団河合会 新倉敷メディカルスクエア,倉敷市玉島1719,多血小板血漿（PRP）の投与による変形性関節症治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02F1910016/5/0
new_facility,3,岩手県,いわてスポーツ・整形外科クリニック,盛岡市向中野字細谷地114番地,自家多血小板血漿(Platelet-rich plasma:PRP)を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節腔外に限る）,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01B2403004/5/0
new_facility,2,岩手県,いわてスポーツ・整形外科クリニック,盛岡市向中野字細谷地114番地,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01B2403003/5/0
new_facility,3,岩手県,医療法人日新堂　八角医院,盛岡市好摩字夏間木101番地2,四肢の靭帯、筋腱付着部およびスポーツ傷害（筋・腱・靭帯）を対象とした多血小板血漿Platelet Rich Plasma（PRP）注入療法,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03B2604003/5/0
new_facility,2,岩手県,医療法人日新堂　八角医院,盛岡市好摩字夏間木101番地2,変形性関節症および関節腔の傷害を対象とした多血小板血漿Platelet Rich Plasma（PRP）注入療法,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03B2604002/5/0
new_facility,2,岩手県,盛岡ふじさわ整形外科クリニック,盛岡市本宮三丁目９番１３号,変形性関節症に対する自家多血小板血漿（ＰＲＰ）、自家多血小板血漿抽出液（APS）関節内投与療法,APS/PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01B2407001/5/0
new_facility,3,岩手県,盛岡ふじさわ整形外科クリニック,盛岡市本宮三丁目９番１３号,自家多血小板血漿（PRP）を用いた整形外科領域（関節腔内への投与を除く）の治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01B2407002/5/0
new_facility,2,岩手県,菅原整形外科クリニック,一関市銅谷町9番18号,自己多血小板血漿（PRP）を用いた変形性膝関節症への治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03B2405002/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/03B2405002/5/1|https://saiseiiryo.mhlw.go.jp/published_plan/download/03B2405002/5/2
existing_facility_new_plan,3,広島県,医療法人かたひざこしのクリニック 福山かた・ひざ・こしのクリニック,福山市神辺町大字新湯野74-18,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2108003/5/0
existing_facility_new_plan,3,広島県,医療法人エム・エム会　マッターホルンリハビリテーション病院,呉市中通一丁目５番２５号,多血小板血漿を用いた靭帯・腱及び腱付着部の機能障害・疾患の治療,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2304004/5/0
existing_facility_new_plan,3,広島県,医療法人龍樹会　池田整形外科リハビリテーションクリニック,広島市東区戸坂大上４丁目29番13号,"自己多血小板血漿（Platelet-rich plasma：PRP）を用いた
整形外科領域における軟部組織治療",PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2310002/5/0
existing_facility_new_plan,3,広島県,大田クリニック整形外科,広島市中区富士見町4-27,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2505004/5/0
existing_facility_new_plan,3,広島県,寛田クリニック,広島市南区稲荷町3-20 トーレ稲荷町,自家多血小板血漿(Platelet-rich plasma:PRP)を用いた関節機能改善治療(関節腔外に限る),PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02F2502002/5/0
existing_facility_new_plan,3,広島県,広島大学病院,広島市南区霞一丁目２番３号,自家多血小板血漿（PRP）を用いた腱付着部炎、腱炎、靭帯損傷（関節外に限る）治療,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02F2604002/5/0
existing_facility_new_plan,3,広島県,社会医療法人里仁会　興生総合病院,三原市円一町2丁目5番1号,自己多血小板血漿(PRP)を用いた整形外科領域における軟部組織治療,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2511004/5/0
new_facility,2,愛媛県,住友別子病院,新居浜市王子町3番1号,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2212003/5/0
new_facility,3,愛媛県,住友別子病院,新居浜市王子町3番1号,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2212004/5/0
new_facility,2,愛媛県,愛媛大学医学部附属病院,東温市志津川,多血小板血漿（Platelet-rich plasma：PRP）を用いた変形性関節症治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2604001/5/0
new_facility,3,愛媛県,愛媛大学医学部附属病院,東温市志津川,自己多血小板血漿(PRP)を用いた整形外科領域における軟部組織治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03F2604002/5/0
new_facility,3,愛知県,HIME CLINIC,名古屋市千種区仲田2丁目305-1　COULEURS GRAND 202,多血小板血漿（PRP）を用いた筋肉、腱、靭帯治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2603004/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2603004/5/1|https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2603004/5/2
existing_facility_new_plan,3,愛知県,ふくだ整形外科骨粗しょう症スポーツクリニック,刈谷市小垣江町北高根213-1,多血小板血漿（Platelet-rich plasma：PRP）を用いた育毛を目的とした再生医療,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2603003/5/0
existing_facility_new_plan,3,愛知県,医療法人財団 檜扇会 クリニック 名古屋ちくさヒルズ,名古屋市千種区千種二丁目24番2号 千種タワーヒルズ1階,自己多血小板血漿（PRP)による捻挫、骨折治癒促進、靭帯損傷、腱鞘炎、アキレス腱炎の治療,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2505020/5/0
new_facility,3,愛知県,名古屋麻酔科クリニック,名古屋市千種区丘上町2-49-4,自己多血小板血漿(PRP)を用いた筋・腱・靭帯の損傷、慢性炎症へのペイン治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2511003/5/0
new_facility,3,愛知県,名鉄病院,名古屋市西区栄生2-26-11,自己多血小板血漿（PRP）を用いた筋・腱・靱帯の損傷および慢性障害の治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2205001/5/0
new_facility,3,愛知県,春日井整形あさひ病院,春日井市下原町字村東2090番地,自己多血小板血漿(PRP)を用いた筋・腱・靭帯等の軟部組織治療,PRP,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2506004/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2506004/5/1
existing_facility_new_plan,3,愛知県,蒲郡市民病院,蒲郡市平田町向田１番地１,四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2601004/5/0
existing_facility_new_plan,3,愛知県,藤田医科大学病院,豊明市沓掛町田楽ケ窪1番地98,多血小板血漿（PRP）を用いた整形外科軟部組織疾患の治療,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02D2512003/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/02D2512003/5/1
existing_facility_new_plan,2,東京都,AR-Ex尾山台整形外科,世田谷区等々力四丁目13番1号,⾃家多⾎⼩板⾎漿（Platelet-rich plasma：PRP）を⽤いた慢性関節炎ならびに関節内軟⾻・靭帯損傷の治療（関節内組織）,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503073/5/0
existing_facility_new_plan,2,東京都,AR-Ex尾山台整形外科,世田谷区等々力四丁目13番1号,⾃家多⾎⼩板⾎漿（Platelet-rich plasma：PRP）を⽤いた慢性関節障害に対する治療,PRP,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2512025/5/0
existing_facility_new_plan,2,東京都,AR-Ex尾山台整形外科,世田谷区等々力四丁目13番1号,脂肪幹細胞を用いた慢性関節障害に対する治療,脂肪由来幹細胞,True,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2512027/5/0
new_facility,2,東京都,GINZA NOA CLINIC,中央区銀座5-4-6 ロイヤルクリスタル銀座3階,変形性関節症に対する自己脂肪由来幹細胞を用いた治療,脂肪由来幹細胞,False,False,,,,1,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2505023/5/0
new_facility,2,東京都,GINZA中央クリニック,中央区銀座7-8-8 6階,変形性関節症に対する自己脂肪由来幹細胞を用いた治療,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2506062/5/0
new_facility,2,東京都,GINZA中央クリニック,中央区銀座7-8-8 6階,自己脂肪由来間葉系幹細胞を用いた変形性関節症治療,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2501048/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2501048/5/1
new_facility,2,東京都,MediLotus clinic,港区麻布十番1丁目7－1　ヨーロッパハウス９階,自己脂肪由来幹細胞を用いた変形性関節症の治療,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2210035/5/0
new_facility,2,東京都,N2クリニック四谷,新宿区左門町2-6 ワコービル5階,ヒト自己脂肪組織由来間葉系幹細胞の関節内投与による関節傷害の症状改善の治療,脂肪由来幹細胞,False,False,,,,0,https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2504115/5/0|https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2504115/5/1
