plan_id	mhlw_plan_code	prefecture	facility	category	treatment_class	price_status	amount	amount_min	amount_max	tax	unit	product	maker	plan_evidence_url	price_source	merge_status
V41_01G2408006	01G2408006	宮崎県	坂田整形外科クリニック	第三種	PRP	価格確定	70000			税別	1 回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01G2408006/5/0	AUTO	READY
V41_01G2301006	01G2301006	宮崎県	整形外科　押領司病院	第三種	PRP	価格確定	110000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01G2301006/5/0	AUTO	READY
V41_01D2605006	01D2605006	岐阜県	医療法人社団 豊正会 大垣中央病院	第三種	PRP	価格確定	70000			税込	1 回	Condensia	京セラ	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2605006/5/0	AUTO	READY
V41_01B2403004	01B2403004	岩手県	いわてスポーツ・整形外科クリニック	第三種	PRP	価格確定	25000			税込	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01B2403004/5/0	AUTO	READY
V41_01B2403004	01B2403004	岩手県	いわてスポーツ・整形外科クリニック	第三種	PRP	価格確定	50000			税込	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01B2403004/5/0	AUTO	READY
V41_01F2108003	01F2108003	広島県	医療法人かたひざこしのクリニック 福山かた・ひざ・こしのクリニック	第三種	PRP	価格確定	38280			税込	ACP・1部位（1キット）	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2108003/5/0	AUTO	READY
V41_01F2108003	01F2108003	広島県	医療法人かたひざこしのクリニック 福山かた・ひざ・こしのクリニック	第三種	PRP	価格確定	54780			税込	ACP・2部位（2キット）	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2108003/5/0	AUTO	READY
V41_01F2108003	01F2108003	広島県	医療法人かたひざこしのクリニック 福山かた・ひざ・こしのクリニック	第三種	PRP	価格確定	27280			税込	ACP・学生・1部位（1キット）	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2108003/5/0	AUTO	READY
V41_01F2108003	01F2108003	広島県	医療法人かたひざこしのクリニック 福山かた・ひざ・こしのクリニック	第三種	PRP	価格確定	32780			税込	Condensia・1部位（1キット）	Condensia	京セラ	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2108003/5/0	AUTO	READY
V41_01F2108003	01F2108003	広島県	医療法人かたひざこしのクリニック 福山かた・ひざ・こしのクリニック	第三種	PRP	価格確定	43780			税込	Condensia・2部位（2キット）	Condensia	京セラ	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2108003/5/0	AUTO	READY
V41_01F2108003	01F2108003	広島県	医療法人かたひざこしのクリニック 福山かた・ひざ・こしのクリニック	第三種	PRP	価格確定	21780			税込	Condensia・学生・1部位（1キット）	Condensia	京セラ	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2108003/5/0	AUTO	READY
V41_01F2310002	01F2310002	広島県	医療法人龍樹会　池田整形外科リハビリテーションクリニック	第三種	PRP	価格確定	100000			税別	軟部組織治療・費用例	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2310002/5/0	AUTO	READY
V41_01F2505004	01F2505004	広島県	大田クリニック整形外科	第三種	PRP	価格確定	20000			税別	1部位	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2505004/5/0	AUTO	READY
V41_01F2505004	01F2505004	広島県	大田クリニック整形外科	第三種	PRP	価格確定	35000			税別	1部位	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2505004/5/0	AUTO	READY
V41_01F2505004	01F2505004	広島県	大田クリニック整形外科	第三種	PRP	価格確定	180000			税別	1部位	ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2505004/5/0	AUTO	READY
V41_01F2505004	01F2505004	広島県	大田クリニック整形外科	第三種	PRP	価格確定	20000			不明	1部位	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2505004/5/0	AUTO	READY
