plan_id	mhlw_plan_code	prefecture	facility	category	treatment_class	price_status	amount	amount_min	amount_max	tax	unit	product	maker	plan_evidence_url	price_source	merge_status
V41_01C2602054	01C2602054	東京都	銀座聖愛わクリニック	第二種	脂肪由来幹細胞	価格確定	3650000			税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602054/5/0	AUTO	READY
V41_01C2602054	01C2602054	東京都	銀座聖愛わクリニック	第二種	脂肪由来幹細胞	価格確定	6200000			税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602054/5/0	AUTO	READY
V41_01C2602054	01C2602054	東京都	銀座聖愛わクリニック	第二種	脂肪由来幹細胞	価格確定	11300000			税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2602054/5/0	AUTO	READY
V41_02C2503035	02C2503035	東京都	阿部整形外科クリニック	第二種	PRP	価格確定	77000			税込	1 回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2503035/5/0	AUTO	READY
V41_02C2503035	02C2503035	東京都	阿部整形外科クリニック	第二種	PRP	価格確定	440000			税込		ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2503035/5/0	AUTO	READY
V41_03C2308020	03C2308020	東京都	順天堂大学医学部附属練馬病院	第二種	PRP	価格確定	50000			税別	関節内・1回	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2308020/5/0	AUTO	READY
V41_03C2308021	03C2308021	東京都	順天堂大学医学部附属練馬病院	第三種	PRP	価格確定	30000			不明	一部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2308021/5/0	AUTO	READY
V41_03C2609013	03C2609013	東京都	順天堂大学医学部附属順天堂医院	第二種	脂肪由来幹細胞	価格確定	200000			税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2609013/5/0	AUTO	READY
V41_03C2609013	03C2609013	東京都	順天堂大学医学部附属順天堂医院	第二種	脂肪由来幹細胞	価格確定	400000			税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2609013/5/0	AUTO	READY
V41_03C2609016	03C2609016	東京都	順天堂大学医学部附属順天堂医院	第三種	PRP	価格確定	26400			不明	PRP注射・1回	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2609016/5/0	AUTO	READY
V41_03C2609016	03C2609016	東京都	順天堂大学医学部附属順天堂医院	第三種	PRP	価格確定	52800			不明	PRP注射・両膝	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2609016/5/0	AUTO	READY
V41_03C2609017	03C2609017	東京都	順天堂大学医学部附属順天堂医院	第二種	PRP	価格確定	300000			不明		APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2609017/5/0	AUTO	READY
V41_02C2604007	02C2604007	東京都	順天堂大学医学部附属順天堂東京江東高齢者医療センター	第三種	PRP	価格確定	35000			税別		MyCells	MyCells系	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2604007/5/0	AUTO	READY
V41_02C2604007	02C2604007	東京都	順天堂大学医学部附属順天堂東京江東高齢者医療センター	第三種	PRP	価格確定	75000			税別		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2604007/5/0	AUTO	READY
V41_02C2502053	02C2502053	栃木県	医療法人恭友会　はせがわ整形外科クリニック	第三種	PRP	価格確定	55000			税込	PRP療法・1回	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2502053/5/0	AUTO	READY
V41_01C2307023	01C2307023	栃木県	医療法人親仁会　佐藤病院	第三種	PRP	価格確定	165000			税込	1治療・2回投与	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2307023/5/0	AUTO	READY
V41_02C2604078	02C2604078	栃木県	学校法人　獨協学園  獨協医科大学病院	第三種	PRP	価格確定	77000			税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2604078/5/0	AUTO	READY
V41_02C2604078	02C2604078	栃木県	学校法人　獨協学園  獨協医科大学病院	第三種	PRP	価格確定	138000			税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2604078/5/0	AUTO	READY
V41_02C2604078	02C2604078	栃木県	学校法人　獨協学園  獨協医科大学病院	第三種	PRP	価格確定	198000			税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2604078/5/0	AUTO	READY
V41_01G2512005	01G2512005	沖縄県	てだこ整形外科	第二種	脂肪由来幹細胞	価格確定	1800000			税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01G2512005/5/0	AUTO	READY
V41_01G2512005	01G2512005	沖縄県	てだこ整形外科	第二種	脂肪由来幹細胞	価格確定	3000000			税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01G2512005/5/0	AUTO	READY
V41_01G2512005	01G2512005	沖縄県	てだこ整形外科	第二種	脂肪由来幹細胞	価格確定	4200000			税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01G2512005/5/0	AUTO	READY
V41_02G2503013	02G2503013	沖縄県	医療法人八重瀬会　同仁病院	第三種	PRP	価格確定	100000			不明		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02G2503013/5/0	AUTO	READY
V41_02G2001025	02G2001025	沖縄県	医療法人形成会 当山美容形成外科	第三種	PRP	価格確定	200000			税別	1部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/02G2001025/5/0	AUTO	READY
V41_02G2602005	02G2602005	沖縄県	社会医療法人友愛会友愛医療センター	第三種	PRP	価格確定	50000			税別	PRP 1回・当院整形外科術後患者または学生	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/02G2602005/5/0	AUTO	READY
V41_02G2602005	02G2602005	沖縄県	社会医療法人友愛会友愛医療センター	第三種	PRP	価格確定	80000			税別	PRP 1回・その他	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/02G2602005/5/0	AUTO	READY
V41_01E2408020	01E2408020	滋賀県	一般社団法人スピナレピオス  淡海せぼねクリニック	第二種	PRP	価格確定	44000			税込	1 回(1 部位)			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2408020/5/0	AUTO	READY
V41_01E2408021	01E2408021	滋賀県	一般社団法人スピナレピオス  淡海せぼねクリニック	第三種	PRP	価格確定	33000			税込	両側			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2408021/5/0	AUTO	READY
V41_01E2307012	01E2307012	滋賀県	公立甲賀病院	第三種	PRP	価格確定	35000			税込	両側			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2307012/5/0	AUTO	READY
V41_02E2512024	02E2512024	滋賀県	医療法人はたスポーツ整形クリニック	第三種	PRP	価格確定	55000			税込		ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2512024/5/0	AUTO	READY
V41_02E2512024	02E2512024	滋賀県	医療法人はたスポーツ整形クリニック	第三種	PRP	価格確定	132000			税込		ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2512024/5/0	AUTO	READY
V41_01E2405012	01E2405012	滋賀県	東近江市立能登川病院	第二種	PRP	価格確定	55000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2405012/5/0	AUTO	READY
V41_01E2404003	01E2404003	滋賀県	田原整形外科	第三種	PRP	価格確定	50000			税別	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2404003/5/0	AUTO	READY
V41_02G2511005	02G2511005	熊本県	熊本整形外科病院	第三種	PRP	価格確定	90000			税別	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02G2511005/5/0	AUTO	READY
V41_03G2506012	03G2506012	熊本県	社会医療法人 令和会　熊本リハビリテーション病院	第二種	脂肪由来幹細胞	価格確定	1750000			税別	ADRCs細胞治療	ADRCs		https://saiseiiryo.mhlw.go.jp/published_plan/download/03G2506012/5/0	AUTO	READY
V41_01D2408001	01D2408001	石川県	特定医療法人社団勝木会　やわたメディカルセンター	第二種	PRP	価格確定	40000			税別	2回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2408001/5/0	AUTO	READY
