plan_id	mhlw_plan_code	facility_id_source	prefecture	facility	address	category	treatment	treatment_class	price_status	evidence_url	v41_lane	scope_status
V41_03C2305035	03C2305035	V41FB52457E514	東京都	医療法人社団康静会　赤羽ウェルネスクリニック	北区赤羽2丁目15-10	第二種	多血小板血漿（Platelet-rich plasma：PRP）を用いた変形性関節症治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2305035/5/0	C	IN_SCOPE
V41_01C2604065	01C2604065	V41F0884429288	東京都	医療法人社団彩康会　十条整形外科リハビリクリニック	北区十条仲原1-28-13　ラファエーラ十条２F	第三種	自家多血小板血漿（PRP）を用いた筋腱付着部およびスポーツ傷害（筋・腱・靭帯）の治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2604065/5/0	A	IN_SCOPE
V41_01C2504031	01C2504031	V41F568ED5AA3F	東京都	医療法人社団心愛会  麻布台ビューティセルクリニック	港区麻布台1-11-5 Village Azabudai 2F	第二種	自己脂肪由来幹細胞を用いた筋肉増大の治療	脂肪由来幹細胞	価格非公開	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2504031/5/0	C	IN_SCOPE
V41_01C2507025	01C2507025	V41F568ED5AA3F	東京都	医療法人社団心愛会  麻布台ビューティセルクリニック	港区麻布台1-11-5 Village Azabudai 2F	第三種	自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）	PRP	価格非公開	https://beautycell-cl.com/price/	B	IN_SCOPE
V41_03C2207011	03C2207011	V41F60B9E81DF5	東京都	医療法人社団快晴会  すがも北口整形外科クリニック	豊島区巣鴨2-3-10 森川第1ビル3階	第三種	自家多血小板血漿(PRP)の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2207011/5/0	D	IN_SCOPE
V41_03C2405010	03C2405010	V41FBE0753815A	東京都	医療法人社団慶優会　増本整形外科クリニック	杉並区荻窪５−３０−１７	第三種	多血小板血漿を用いた靭帯・腱及び腱付着部の機能障害・疾患の治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2405010/5/0	A	IN_SCOPE
V41_01C1911015	01C1911015	V41F9A6CEDFA1A	東京都	医療法人社団慶光会 大城クリニック	新宿区信濃町34 JR信濃町駅ビル2F	第三種	自己多血小板血漿(PRP)を用いた筋・腱・靭帯等の軟部組織再生治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1911015/5/0	B	IN_SCOPE
V41_02C2510020	02C2510020	V41FA669C3C925	東京都	医療法人社団慶晃会 世田谷玉川 整形外科内科クリニック	世田谷区上野毛1-9-11玉川ビル	第三種	多血小板血漿(Platelet-rich plasma :PRP)を用いた整形外科領域における軟部組織修復治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2510020/5/0	C	IN_SCOPE
V41_01C2206031	01C2206031	V41FFF3D4B89DD	東京都	医療法人社団慶永会　徳永整形外科	東京都世田谷区喜多見８丁目１８−１０　２F	第三種	四肢の靭帯、筋腱付着部およびスポーツ傷害（筋・腱・靭帯）を対象とした自家多血小板血漿（PRP）注入療法	PRP	価格確定	https://www.tokunaga-seikei.com/	D	IN_SCOPE
V41_01C1908039	01C1908039	V41F23D9A8B2F2	東京都	医療法人社団成煌会　瑞江整形外科	江戸川区瑞江4-45-1	第三種	自己多血小板血漿(PRP)を用いた筋・腱・靭帯等、損傷した運動器組織再生治療	PRP	価格確定	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1908039/5/0	A	IN_SCOPE
