match_type,scope,kind,prefecture,facility,address,treatment,best_score,nearest_plan_id,nearest_facility,nearest_treatment,score,matched_plan_id,matched_facility,matched_treatment,document_urls
possible_missing,strong_msk,2,岐阜県,岐阜大学医学部附属病院,岐阜市柳戸 1 番 1,多血小板血漿（Platelet-rich plasma：PRP）を用いた変形性関節症治療,0.3009,P00665,Radiant Clinic,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/02D2503010/5/0
possible_missing,strong_msk,2,三重県,"医療法人KSOC
四日市膝肩スポーツの整形外科クリニック",四日市市生桑584-4,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2504005/5/0
possible_missing,strong_msk,2,三重県,岩崎病院,津市一身田町333番地,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2207002/5/0
possible_missing,strong_msk,2,三重県,浅野整形外科内科,伊賀市比土字上ノ代３１５８番地１,自己多血小板血漿（PRP）の投与による変形性関節症の治療,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2602001/5/0
possible_missing,strong_msk,2,三重県,社会福祉法人恩賜財団済生会松阪市民病院,松阪市殿町１５５０番地,多血小板血漿（PRP）を用いた変形性関節症治療,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2606017/5/0
possible_missing,strong_msk,2,三重県,花の道　こてら整形外科クリニック,津市高野尾町1897-74,変形性関節症に対する多血小板血漿（ＰＲＰ）関節内投与療法,,,,,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2503001/5/0
possible_missing,strong_msk,2,滋賀県,"一般社団法人スピナレピオス
淡海せぼねクリニック",近江八幡市出町233-2,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,0.5705,P00366,医療法人翠蓮会 とがの整形外科クリニック,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2408020/5/0
possible_missing,strong_msk,2,滋賀県,東近江市立能登川病院,東近江市猪子町191,変形性関節症に対する多血小板血漿（ＰＲＰ）関節内投与療法,0.66,P00365,医療法人はたスポーツ整形クリニック,変形性関節症に対する多血小板血漿（PRP）関節内投与療法,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2405012/5/0
possible_missing,strong_msk,2,滋賀県,長浜赤十字病院,長浜市宮前町14番7号,多血小板血漿（Platelet-rich plasma：PRP）を用いた変形性関節症治療,0.4363,P00364,公立甲賀病院,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2607012/5/0
possible_missing,strong_msk,2,京都府,Clinique Haru Kyoto,京都市下京区烏丸通塩小路下る東塩小路町901番地 京都駅ビル内ホテルグランヴィア京都6階,変形性関節症に対する自己脂肪組織由来間葉系間質細胞投与療法,0.6087,P00368,一般社団法人日生会 CELL CLINIC KYOTO,変形性関節症に対する自己脂肪由来幹細胞を用いた治療,,,,,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605013/5/0
