lane	queue_index	plan_id	mhlw_plan_code	facility_id	prefecture	facility	category	treatment_class	status	amount	tax	unit	products	makers	document_url	ranking_eligible	merge_status	qc_reason
B	229	P00406	02E2207015	F0119	大阪府	社会医療法人啓仁会 堺咲花病院	第二種	PRP	AUTO	150000	不明	1回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2207015/5/0	true	READY_AUTO	
B	229	P00406	02E2207015	F0119	大阪府	社会医療法人啓仁会 堺咲花病院	第二種	PRP	AUTO	300000	不明	1回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2207015/5/0	true	READY_AUTO	
B	229	P00406	02E2207015	F0119	大阪府	社会医療法人啓仁会 堺咲花病院	第二種	PRP	AUTO	150000	不明		APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2207015/5/0	true	READY_AUTO	
B	229	P00406	02E2207015	F0119	大阪府	社会医療法人啓仁会 堺咲花病院	第二種	PRP	AUTO	300000	不明		APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2207015/5/0	true	READY_AUTO	
B	230	P00407	03E2603010	F0120	大阪府	社会医療法人報恩会 長吉総合病院	第二種	PRP	AUTO	55000	税込	2 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603010/5/0	true	READY_AUTO	
B	231	P00408	02E2504001	F0121	大阪府	社会医療法人寿会 富永病院	第二種	脂肪由来MSC	AUTO	628000	税込	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2504001/5/0	true	READY_AUTO	
B	231	P00408	02E2504001	F0121	大阪府	社会医療法人寿会 富永病院	第二種	脂肪由来MSC	AUTO	698000	税込	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2504001/5/0	true	READY_AUTO	
B	231	P00408	02E2504001	F0121	大阪府	社会医療法人寿会 富永病院	第二種	脂肪由来MSC	AUTO	980000	税込	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2504001/5/0	true	READY_AUTO	
B	231	P00408	02E2504001	F0121	大阪府	社会医療法人寿会 富永病院	第二種	脂肪由来MSC	AUTO	5500	税込	3 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2504001/5/0	true	READY_AUTO	
B	231	P00408	02E2504001	F0121	大阪府	社会医療法人寿会 富永病院	第二種	脂肪由来MSC	AUTO	55000	税込	2 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2504001/5/0	true	READY_AUTO	
B	231	P00408	02E2504001	F0121	大阪府	社会医療法人寿会 富永病院	第二種	脂肪由来MSC	AUTO	530000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2504001/5/0	true	READY_AUTO	
B	231	P00408	02E2504001	F0121	大阪府	社会医療法人寿会 富永病院	第二種	脂肪由来MSC	AUTO	590000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2504001/5/0	true	READY_AUTO	
B	231	P00408	02E2504001	F0121	大阪府	社会医療法人寿会 富永病院	第二種	脂肪由来MSC	AUTO	830000	税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2504001/5/0	true	READY_AUTO	
B	232	P00409	02E2604016	F0121	大阪府	社会医療法人寿会 富永病院	第二種	PRP	AUTO	44000	税込	2 回分	ACP|APS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2604016/5/0	true	READY_AUTO	
B	232	P00409	02E2604016	F0121	大阪府	社会医療法人寿会 富永病院	第二種	PRP	AUTO	330000	税込	2 回分	ACP|APS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2604016/5/0	true	READY_AUTO	
B	232	P00409	02E2604016	F0121	大阪府	社会医療法人寿会 富永病院	第二種	PRP	AUTO	44000	不明	1 部位	ACP|APS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2604016/5/0	true	READY_AUTO	
B	232	P00409	02E2604016	F0121	大阪府	社会医療法人寿会 富永病院	第二種	PRP	AUTO	330000	不明	1 部位	ACP|APS	Arthrex|Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2604016/5/0	true	READY_AUTO	
B	233	P00410	03E2504006	F0122	大阪府	社会医療法人愛仁会 高槻病院	第二種	脂肪由来MSC	QC						https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2504006/5/0	false	REVIEW_QC_NO_PRICE	no price found after text/OCR pass
B	234	P00411	02E2509002	F0122	大阪府	社会医療法人愛仁会 高槻病院	第二種	ADRC	AUTO	2000000	税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2509002/5/0	true	READY_AUTO	line-level strong price context
