plan_id	mhlw_plan_code	prefecture	facility	category	treatment_class	price_status	amount	amount_min	amount_max	tax	unit	product	maker	plan_evidence_url	price_source	merge_status
V41_01C2509014	01C2509014	東京都	医療法人社団T.O.P.ドクターズ  東京国際クリニック	第二種	脂肪由来幹細胞	価格確定	800000			税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2509014/5/0	AUTO	READY
V41_02C2511037	02C2511037	東京都	医療法人社団TSOC 東京スポーツ&整形外科クリニック	第三種	PRP	価格確定	200000			税別		ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2511037/5/0	AUTO	READY
V41_01C2510080	01C2510080	東京都	医療法人社団TaaK  Akira International Clinic	第二種	脂肪由来幹細胞	価格確定	1800000			税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2510080/5/0	AUTO	READY
V41_01C2511030	01C2511030	東京都	医療法人社団VITA　池尻大橋せらクリニック	第三種	PRP	価格確定	75000			不明	1 回	ACP MAX / ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511030/5/0	AUTO	READY
V41_01C2511030	01C2511030	東京都	医療法人社団VITA　池尻大橋せらクリニック	第三種	PRP	価格確定	220000			不明		ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511030/5/0	AUTO	READY
V41_01C2511030	01C2511030	東京都	医療法人社団VITA　池尻大橋せらクリニック	第三種	PRP	価格確定	25000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511030/5/0	AUTO	READY
V41_01C2511030	01C2511030	東京都	医療法人社団VITA　池尻大橋せらクリニック	第三種	PRP	価格確定	25000			不明	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511030/5/0	AUTO	READY
V41_01C2511030	01C2511030	東京都	医療法人社団VITA　池尻大橋せらクリニック	第三種	PRP	価格確定	50000			不明	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511030/5/0	AUTO	READY
V41_02C2203026	02C2203026	東京都	医療法人社団　三友会　高円寺整形外科	第二種	脂肪由来幹細胞	価格確定	750000			税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2203026/5/0	AUTO	READY
V41_02C2203026	02C2203026	東京都	医療法人社団　三友会　高円寺整形外科	第二種	脂肪由来幹細胞	価格確定	1000000			税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2203026/5/0	AUTO	READY
V41_02C2203026	02C2203026	東京都	医療法人社団　三友会　高円寺整形外科	第二種	脂肪由来幹細胞	価格確定	1500000			税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2203026/5/0	AUTO	READY
V41_01C2601014	01C2601014	東京都	医療法人社団　正貴会　いくこ皮フ科クリニック	第二種	PRP	価格確定	66000			不明	1回	MyCells	MyCells系	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601014/5/0	AUTO	READY
V41_01C2601014	01C2601014	東京都	医療法人社団　正貴会　いくこ皮フ科クリニック	第二種	PRP	価格確定	132000			不明	1回	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601014/5/0	AUTO	READY
V41_01C2601014	01C2601014	東京都	医療法人社団　正貴会　いくこ皮フ科クリニック	第二種	PRP	価格確定	308000			不明	1回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601014/5/0	AUTO	READY
V41_03C2606021	03C2606021	東京都	医療法人社団　熊谷整形外科	第二種	脂肪由来幹細胞	価格確定	4620000			税込	2 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2606021/5/0	AUTO	READY
V41_03C2606021	03C2606021	東京都	医療法人社団　熊谷整形外科	第二種	脂肪由来幹細胞	価格確定	3630000			不明	2 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2606021/5/0	AUTO	READY
V41_02C2001010	02C2001010	東京都	医療法人社団　白鳳会　大角医院	第三種	PRP	価格確定	90000			税別		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2001010/5/0	AUTO	READY
V41_02C1905098	02C1905098	東京都	医療法人社団　苑田会  苑田会人工関節センター病院	第三種	PRP	価格確定	50000			不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1905098/5/0	AUTO	READY
V41_01C1907048	01C1907048	東京都	医療法人社団　顕伊会　さい整形外科クリニック	第二種	PRP	価格確定	88000			税込	関節腔内・1関節・PRP 4mL	PRP		https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1907048/5/0	AUTO	READY
V41_02C2606060	02C2606060	東京都	医療法人社団ことのは　両国きたむら整形外科	第三種	PRP	価格確定	35000			不明				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2606060/5/0	AUTO	READY
V41_02C1912131	02C1912131	東京都	医療法人社団しぜん会　まつだ整形外科・リウマチ科	第三種	PRP	価格確定	30000			税別				https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1912131/5/0	AUTO	READY
V41_03C2605008	03C2605008	東京都	医療法人社団ウェルエイジング　Dクリニック東京	第二種	脂肪由来幹細胞	価格確定	1000000			税別	2 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2605008/5/0	AUTO	READY
V41_03C2605008	03C2605008	東京都	医療法人社団ウェルエイジング　Dクリニック東京	第二種	脂肪由来幹細胞	価格確定	1500000			税別	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2605008/5/0	AUTO	READY
V41_02C2307023	02C2307023	東京都	医療法人社団スポーツメディカル  八王子スポーツ整形外科	第三種	PRP	価格確定	30000			不明	1回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2307023/5/0	AUTO	READY
V41_02C2307023	02C2307023	東京都	医療法人社団スポーツメディカル  八王子スポーツ整形外科	第三種	PRP	価格確定	120000			不明	1回	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2307023/5/0	AUTO	READY
V41_02C2601092	02C2601092	東京都	医療法人社団スポーツメディカル  八王子スポーツ整形外科	第二種	PRP	価格確定	50000			不明	1回	ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601092/5/0	AUTO	READY
V41_02C2601092	02C2601092	東京都	医療法人社団スポーツメディカル  八王子スポーツ整形外科	第二種	PRP	価格確定	180000			不明	1回	GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601092/5/0	AUTO	READY
V41_02C2601092	02C2601092	東京都	医療法人社団スポーツメディカル  八王子スポーツ整形外科	第二種	PRP	価格確定	380000			不明	1回	APS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601092/5/0	AUTO	READY
V41_02C2502063	02C2502063	東京都	医療法人社団ナチュラルハーモニー  ナチュラルハーモニークリニック表参道	第二種	脂肪由来幹細胞	価格確定	1000000			不明	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2502063/5/0	AUTO	READY
V41_02C2502063	02C2502063	東京都	医療法人社団ナチュラルハーモニー  ナチュラルハーモニークリニック表参道	第二種	脂肪由来幹細胞	価格確定	1500000			不明	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2502063/5/0	AUTO	READY
V41_02C2601056	02C2601056	東京都	医療法人社団ナチュラルハーモニー  ナチュラルハーモニークリニック表参道	第二種	脂肪由来幹細胞	価格確定	4158000			不明	1 部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601056/5/0	AUTO	READY
V41_02C2601056	02C2601056	東京都	医療法人社団ナチュラルハーモニー  ナチュラルハーモニークリニック表参道	第二種	脂肪由来幹細胞	価格確定	1540000			不明	1 部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601056/5/0	AUTO	READY
V41_02C2601056	02C2601056	東京都	医療法人社団ナチュラルハーモニー  ナチュラルハーモニークリニック表参道	第二種	脂肪由来幹細胞	価格確定	2926000			不明	1 部位			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2601056/5/0	AUTO	READY
V41_03C2604054	03C2604054	東京都	医療法人社団ルネ ルネクリニック東京院	第二種	脂肪由来幹細胞	価格確定	1320000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2604054/5/0	AUTO	READY
V41_03C2604056	03C2604056	東京都	医療法人社団ルネ ルネクリニック東京院	第二種	脂肪由来幹細胞	価格確定	1320000			税込				https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2604056/5/0	AUTO	READY
V41_02C2512023	02C2512023	東京都	医療法人社団下田緑眞会 世田谷北部病院	第三種	PRP	価格確定	40000			税込		ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2512023/5/0	AUTO	READY
V41_02C2512023	02C2512023	東京都	医療法人社団下田緑眞会 世田谷北部病院	第三種	PRP	価格確定	80000			税込		ACP	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2512023/5/0	AUTO	READY
V41_02C2512023	02C2512023	東京都	医療法人社団下田緑眞会 世田谷北部病院	第三種	PRP	価格確定	160000			税込		ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2512023/5/0	AUTO	READY
