plan_id	mhlw_plan_code	prefecture	facility	category	treatment_class	price_status	amount	amount_min	amount_max	tax	unit	product	maker	plan_evidence_url	price_source	merge_status
V41_01C2605037	01C2605037	神奈川県	医療法人社団豊葉会　ザ・ヨコハマフロント・ベイサイドクリニック	第三種	PRP	価格確定	160000			税込	ACP MAX・一般	ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2605037/5/0	AUTO	READY
V41_01C2605037	01C2605037	神奈川県	医療法人社団豊葉会　ザ・ヨコハマフロント・ベイサイドクリニック	第三種	PRP	価格確定	135000			税込	ACP MAX・学生	ACP MAX	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2605037/5/0	AUTO	READY
V41_01C2605037	01C2605037	神奈川県	医療法人社団豊葉会　ザ・ヨコハマフロント・ベイサイドクリニック	第三種	PRP	価格確定	215000			税込	Angel PRP・一般/学生	Angel	Arthrex	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2605037/5/0	AUTO	READY
V41_03C2310079	03C2310079	神奈川県	医療法人緑樹会　あおば整形外科	第三種	PRP	価格確定	150000			不明		GPS	Zimmer Biomet	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2310079/5/0	AUTO	READY
V41_01C2006014	01C2006014	神奈川県	医療法人順正会　横浜鶴ヶ峰病院付属予防医療クリニック	第二種	PRP	価格確定	40000			税別	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2006014/5/0	AUTO	READY
V41_03C2412021	03C2412021	神奈川県	原整形外科医院	第二種	PRP	価格確定	300000			不明	3 回分			https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2412021/5/0	AUTO	READY
V41_01C2606028	01C2606028	神奈川県	吉野整形外科	第二種	PRP	価格確定	77000			税込	1回	Condensia	京セラ	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2606028/5/0	AUTO	READY
V41_01C2606029	01C2606029	神奈川県	吉野整形外科	第三種	PRP	価格確定	77000			税込	1回	Condensia	京セラ	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2606029/5/0	AUTO	READY
V41_02C2602044	02C2602044	神奈川県	山下公園スパインクリニック	第二種	PRP	価格確定	160000			税込	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2602044/5/0	AUTO	READY
V41_02C2602044	02C2602044	神奈川県	山下公園スパインクリニック	第二種	PRP	価格確定	176000			税込	1 回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2602044/5/0	AUTO	READY
V41_02C2603016	02C2603016	神奈川県	山下公園スパインクリニック	第三種	PRP	価格確定	60000			税込	1回			https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2603016/5/0	AUTO	READY
