prefecture	facility	mhlw_plan_codes	locator_manufacturer	locator_products	locator_confidence	source_operator	match_type	source_url	known_manufacturers_before_locator	known_evidence_before_locator	same_manufacturer_already_known	facility_has_other_manufacturer_known	truly_new_manufacturer_placement	truly_new_manufacturer_facility
東京都	医療法人社団 山手クリニック	01C2310059	Arthrex	ACP-PRP	HIGH	Arthrex	EXACT_LEGAL_STRIPPED	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
東京都	すみだ運動器リハビリテーションクリニック	01C2302048	Arthrex	ACP-PRP	HIGH	Arthrex	EXACT_STRICT	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
東京都	池尻大橋せらクリニック	01C2403007	Arthrex	ACP-PRP	HIGH	Arthrex	EXACT_STRICT	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
長野県	医療法人弘仁会 かもいクリニック	01C2210029|01C2210030	Arthrex	ACP-PRP	HIGH	Arthrex	EXACT_STRICT	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
静岡県	富士整形外科病院	02D2510005|02D2510006	Arthrex	ACP-PRP|HD-PRP	HIGH	Arthrex	EXACT_STRICT	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
愛知県	米田病院	03D2604004|03D2604005	Arthrex	ACP-PRP	HIGH	Arthrex	EXACT_STRICT	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
愛知県	瀬戸にしな整形外科クリニック	01D2111003	Arthrex	ACP-PRP	HIGH	Arthrex	EXACT_STRICT	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
愛知県	ふくの森リハビリ整形外科	01D2404006	Arthrex	ACP-PRP	HIGH	Arthrex	EXACT_STRICT	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
愛知県	リジェネレーションクリニック	01D2404004|01D2404005	Arthrex	ACP-PRP	HIGH	Arthrex	EXACT_STRICT	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
岐阜県	公立学校共済組合 東海中央病院	03D2509003	Arthrex	ACP-PRP	HIGH	Arthrex	EXACT_LEGAL_STRIPPED	https://seikei-saisei.jp/institution.html			NO	NO	YES	YES
