facility_key	prefecture	facility	manufacturers	manufacturer_count	products	sources
香川県|財団大樹会総合病院回生病院	香川県	社会医療法人財団 大樹会 総合病院 回生病院	Zimmer Biomet	1	APS	MHLW_FULL
香川県|香川県厚生農業協同組合連合会屋島総合病院	香川県	香川県厚生農業協同組合連合会 屋島総合病院	Arthrex	1	ACP	MANUAL_VERIFIED
香川県|高松南整形外科スポーツクリニック	香川県	高松南整形外科スポーツクリニック	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
高知県|高尚会川田整形外科	高知県	医療法人 高尚会 川田整形外科	Arthrex	1	ACP	MANUAL_VERIFIED
高知県|緑風会海里マリン病院	高知県	医療法人緑風会 海里マリン病院	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
高知県|高知西病院	高知県	独立行政法人地域医療機能推進機構 高知西病院	Zimmer Biomet	1	APS|GPS	MHLW_FULL
高知県|近森会近森病院	高知県	社会医療法人近森会 近森病院	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
高知県|高知大学医学部附属病院	高知県	高知大学医学部附属病院	Zimmer Biomet	1	GPS|GPS|Zimmer	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
鳥取県|ysoc米子南整形外科クリニック	鳥取県	医療法人YSOC 米子南整形外科クリニック	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP|ACP MAX|ACP|Angel|Angel	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
鳥取県|かわぐちクリニック	鳥取県	医療法人社団かわぐちクリニック	Arthrex|DSM Biomedical|Zimmer Biomet	3	ACP|ACP|GPS|PEAK|APS|APS|GPS|PEAK|GPS|PEAK	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
鳥取県|鳥取大学医学部附属病院	鳥取県	鳥取大学医学部附属病院	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
鹿児島県|クオラリハビリテーション病院あいら	鹿児島県	クオラリハビリテーション病院あいら	Zimmer Biomet	1	APS	MANUAL_VERIFIED
鹿児島県|鹿児島共済会南風病院	鹿児島県	公益社団法人鹿児島共済会 南風病院	Arthrex|Zimmer Biomet	2	ACP|APS	MANUAL_VERIFIED
鹿児島県|七徳会大井病院	鹿児島県	医療法人七徳会 大井病院	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
鹿児島県|吉祥会吉井整形外科内科中央病院	鹿児島県	医療法人吉祥会 吉井整形外科内科中央病院	Arthrex	1	ACP	MANUAL_VERIFIED
鹿児島県|明正会今林整形外科病院	鹿児島県	医療法人明正会 今林整形外科病院	Arthrex	1	ACP	MANUAL_VERIFIED
鹿児島県|術徳会霧島整形外科クリニック	鹿児島県	医療法人術徳会 霧島整形外科クリニック	Arthrex|Zimmer Biomet	2	ACP|APS	MANUAL_VERIFIED
鹿児島県|天陽会中央クリニック	鹿児島県	天陽会中央クリニック	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
鹿児島県|鹿児島中央整形外科スポーツクリニック	鹿児島県	鹿児島中央整形外科スポーツクリニック	Arthrex	1	ACP|ACP-PRP	MANUAL_VERIFIED|MANUFACTURER_LOCATOR
