facility_key	prefecture	facility	manufacturers	manufacturer_count	products	sources
埼玉県|さいたま整形外科クリニック	埼玉県	さいたま整形外科クリニック	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
埼玉県|ミューズシティクリニック	埼玉県	ミューズシティクリニック	京セラ	1		MHLW_FULL
埼玉県|伊奈整形外科せぼねクリニック	埼玉県	伊奈整形外科・せぼねクリニック	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
埼玉県|本庄福島病院本庄総合病院	埼玉県	医療法人本庄福島病院 本庄総合病院	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
埼玉県|宏志会豊岡第一病院	埼玉県	医療法人社団 宏志会 豊岡第一病院	Zimmer Biomet	1	GPS|GPS|Zimmer	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
埼玉県|鴻愛会withlifeクリニック大宮駅前	埼玉県	医療法人社団 鴻愛会 with Life クリニック 大宮駅前	Arthrex	1	ACP|ACP MAX|Angel	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
埼玉県|nagomi会健康スポーツクリニック	埼玉県	医療法人社団nagomi会  健康スポーツクリニック	Zimmer Biomet	1	APS|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
埼玉県|南越谷病院	埼玉県	医療法人社団南越谷病院	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
埼玉県|幸祥会東整形外科	埼玉県	医療法人社団幸祥会 東整形外科	Zimmer Biomet|京セラ	2	APS|APS|Condensia|GPS	MANUFACTURER_LOCATOR|MHLW_FULL
埼玉県|愛友会三郷中央総合病院	埼玉県	医療法人社団愛友会 三郷中央総合病院	Zimmer Biomet	1	APS|APS|GPS	MANUFACTURER_LOCATOR|MHLW_FULL
埼玉県|慶辰会新越谷駅前えがわ整形外科クリニック	埼玉県	医療法人社団慶辰会 新越谷駅前えがわ整形外科クリニック	Zimmer Biomet	1	APS|GPS	MHLW_FULL
埼玉県|春陽会大宮リビータ整形外科	埼玉県	医療法人社団春陽会 大宮リビータ整形外科	Zimmer Biomet|京セラ	2	APS|Condensia|GPS	MANUAL_VERIFIED|PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
埼玉県|武蔵野会tmgあさか医療センター	埼玉県	医療法人社団武蔵野会 TMGあさか医療センター	Zimmer Biomet	1	APS|APS|GPS	MANUFACTURER_LOCATOR|MHLW_FULL
埼玉県|活寿会大宮ひざ関節症クリニック	埼玉県	医療法人社団活寿会  大宮ひざ関節症クリニック	Zimmer Biomet	1	APS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
埼玉県|順生会はにゅう整形外科	埼玉県	医療法人社団順生会 はにゅう整形外科	Zimmer Biomet	1	APS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
埼玉県|鴻愛会こうのす共生病院	埼玉県	医療法人社団鴻愛会 こうのす共生病院	京セラ	1	Condensia	MANUAL_VERIFIED
埼玉県|医療生協さいたま生活協同組合埼玉協同病院	埼玉県	医療生協さいたま生活協同組合 埼玉協同病院	ESTAR Technologies|Zimmer Biomet	2	APS|MyCells	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
埼玉県|東松山市立市民病院	埼玉県	東松山市立市民病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
埼玉県|獨協医科大学埼玉医療センター	埼玉県	獨協医科大学埼玉医療センター	Zimmer Biomet	1	APS|APS / GPS|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
埼玉県|新青会川口工業総合病院	埼玉県	社会医療法人新青会 川口工業総合病院	Arthrex	1	ACP	MANUAL_VERIFIED
大分県|仙波整形外科	大分県	仙波整形外科	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
大分県|唱和会明野中央病院	大分県	医療法人社団唱和会 明野中央病院	Zimmer Biomet|京セラ	2	Condensia|GPS	MANUAL_VERIFIED|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大分県|猿渡整形外科スポーツリハクリニック	大分県	猿渡整形外科スポーツリハクリニック	京セラ	1	Condensia	MANUAL_VERIFIED
大阪府|oneclinic梅田	大阪府	ONE CLINIC 梅田	ESTAR Technologies	1	MyCells	MANUAL_VERIFIED
大阪府|たけうち整形外科リウマチ科	大阪府	たけうち整形外科リウマチ科	Zimmer Biomet	1	APS|APS|GPS	MANUFACTURER_LOCATOR|MHLW_FULL
大阪府|はせがわ整形外科運動器エコークリニック	大阪府	はせがわ整形外科運動器エコークリニック	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|ひらまつ整形外科難波膝スポーツクリニック	大阪府	ひらまつ整形外科 難波膝スポーツクリニック	京セラ	1	Condensia	MANUAL_VERIFIED
大阪府|まつうら整形肩肘スポーツクリニック	大阪府	まつうら整形・肩肘スポーツクリニック	Arthrex	1	ACP|ACP|Angel|Angel	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|アスレティックス整形外科肩膝スポーツクリニック	大阪府	アスレティックス整形外科肩膝スポーツクリニック	京セラ	1	Condensia	MANUAL_VERIFIED
大阪府|きど整形外科クリニック	大阪府	医療法人 きど整形外科クリニック	Zimmer Biomet|京セラ	2	APS|APS|GPS|Condensia|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|凉庵会整形外科吉田クリニック	大阪府	医療法人 凉庵会 整形外科 吉田クリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|厚心会まつかわ整形外科クリニック	大阪府	医療法人 厚心会 まつかわ整形外科クリニック	Arteriocyte Medical Systems|Arthrex	2	ACP|MAGELLAN	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|nクリニック	大阪府	医療法人Nクリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|nクリニック本町nクリニック	大阪府	医療法人Nクリニック 本町Nクリニック	Zimmer Biomet	1	APS|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|一幸会いっしん整形外科	大阪府	医療法人一幸会 いっしん整形外科	Arthrex	1	ACP	MANUAL_VERIFIED
大阪府|井上会井上整形外科	大阪府	医療法人井上会 井上整形外科	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|亮星会ほしやま整形外科医院	大阪府	医療法人亮星会 ほしやま整形外科医院	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|仁由会日本ウェルネス再生クリニック	大阪府	医療法人仁由会 日本ウェルネス再生クリニック	ESTAR Technologies	1	MyCells	MANUAL_VERIFIED
大阪府|健裕会よこい整形外科健康スポーツクリニック	大阪府	医療法人健裕会 よこい整形外科 健康スポーツクリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|再生会そばじまクリニック	大阪府	医療法人再生会 そばじまクリニック	京セラ	1	Condensia	MHLW_FULL
大阪府|医誠会医誠会国際総合病院	大阪府	医療法人医誠会 医誠会国際総合病院	Zimmer Biomet	1	GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|医進会高石加茂病院	大阪府	医療法人医進会 高石加茂病院	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|協和会協和会病院	大阪府	医療法人協和会 協和会病院	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|啓信会大阪整形外科病院	大阪府	医療法人啓信会 大阪整形外科病院	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|恒晴会心斎橋ペインクリニック	大阪府	医療法人恒晴会 心斎橋ペインクリニック	Zimmer Biomet|京セラ	2	APS|APS|GPS|Condensia|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|想千あわ整形外科クリニック	大阪府	医療法人想千あわ整形外科クリニック	Arthrex	1	ACP	MANUAL_VERIFIED
大阪府|新和会朝田整形外科	大阪府	医療法人新和会 朝田整形外科	Zimmer Biomet|京セラ	2	APS|Condensia|GPS	MANUAL_VERIFIED|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|春秋会城山病院	大阪府	医療法人春秋会 城山病院	Zimmer Biomet	1	APS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|朝雲会あさぐも整形外科クリニック	大阪府	医療法人朝雲会 あさぐも整形外科クリニック	Zimmer Biomet	1	APS|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|桂礼会小阪医院	大阪府	医療法人桂礼会 小阪医院	Arthrex	1	ACP	MANUAL_VERIFIED
大阪府|槻陽会高槻整形外科再生医療クリニック	大阪府	医療法人槻陽会 高槻整形外科・再生医療クリニック	Zimmer Biomet	1	APS|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|彦星会大阪中之島整形外科	大阪府	医療法人社団彦星会 大阪中之島整形外科	Zimmer Biomet	1	APS	MHLW_FULL
大阪府|彦星会岩橋クリニック	大阪府	医療法人社団彦星会 岩橋クリニック	Zimmer Biomet	1	GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|美咲会えびえ記念病院	大阪府	医療法人社団美咲会 えびえ記念病院	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|神明会印どうメディカルクリニック	大阪府	医療法人神明会 印どうメディカルクリニック	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|良耕会村尾診療所	大阪府	医療法人良耕会  村尾診療所	Arthrex	1	ACP|ACP MAX	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|良花会整形外科とくはらクリニック	大阪府	医療法人良花会 整形外科とくはらクリニック	Arthrex|Zimmer Biomet	2	ACP|APS|GPS|APS	MANUAL_VERIFIED|MANUFACTURER_LOCATOR
大阪府|荒巻会あらまき整形外科クリニック	大阪府	医療法人荒巻会 あらまき整形外科クリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|誠幸会わだ整形外科クリニック	大阪府	医療法人誠幸会 わだ整形外科クリニック	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|讃高会枚方東整形外科病院	大阪府	医療法人讃高会 枚方東整形外科病院	Zimmer Biomet	1	APS	MANUFACTURER_LOCATOR
大阪府|吹田くわた内科ペインクリニック	大阪府	吹田くわた内科・ペインクリニック	京セラ	1		MHLW_FULL
大阪府|大阪市立総合医療センター	大阪府	大阪市立総合医療センター	Arthrex	1	ACP|ACP-PRP	MANUAL_VERIFIED|MANUFACTURER_LOCATOR
大阪府|市立ひらかた病院	大阪府	市立ひらかた病院	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|市立岸和田市民病院	大阪府	市立岸和田市民病院	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|枚方市駅前やました整形外科リハビリテーションクリニック	大阪府	枚方市駅前やました整形外科リハビリテーションクリニック	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|森ノ宮医療大学附属大阪ベイクリニック	大阪府	森ノ宮医療大学附属 大阪ベイクリニック	Zimmer Biomet|京セラ	2	Condensia|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
大阪府|信愛会畷生会脳神経外科病院	大阪府	社会医療法人 信愛会 畷生会脳神経外科病院	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|oneflagおおさかグローバル整形外科病院	大阪府	社会医療法人ONE FLAG おおさかグローバル整形外科病院	Arthrex|Zimmer Biomet	2	ACP|ACP|GPS|Zimmer|Arthrex|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|啓仁会堺咲花病院	大阪府	社会医療法人啓仁会 堺咲花病院	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|報恩会長吉総合病院	大阪府	社会医療法人報恩会 長吉総合病院	Arthrex	1	ACP	MANUAL_VERIFIED
大阪府|寿会富永病院	大阪府	社会医療法人寿会 富永病院	Arthrex|Zimmer Biomet	2	ACP|ACP|APS|APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|近畿大学病院	大阪府	近畿大学病院	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|運動器ケアしまだ病院	大阪府	運動器ケア しまだ病院	Zimmer Biomet	1	APS|GPS	MHLW_FULL
大阪府|都島整形外科クリニック	大阪府	都島整形外科クリニック	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
大阪府|高槻整形外科再生医療クリニック	大阪府	高槻整形外科・再生医療クリニック	Zimmer Biomet	1	APS|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
奈良県|沢井病院	奈良県	一般財団法人 沢井病院	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
奈良県|新生会総合病院高の原中央病院	奈良県	医療法人新生会 総合病院 高の原中央病院	Arthrex|Zimmer Biomet	2	ACP|ACP MAX|ACP MAX|ACP|ACP MAX|ACP|APS|GPS|APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
奈良県|松本快生会西奈良中央病院	奈良県	社会医療法人 松本快生会 西奈良中央病院	DSM Biomedical|Zimmer Biomet	2	APS|APS|GPS|PEAK|GPS|GPS|PEAK|PEAK	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
奈良県|高清会香芝高清会病院	奈良県	社会医療法人高清会 香芝高清会病院	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
奈良県|恩賜財団済生会奈良病院	奈良県	社会福祉法人 恩賜財団済生会奈良病院	Zimmer Biomet	1	GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
奈良県|近畿大学奈良病院	奈良県	近畿大学奈良病院	Zimmer Biomet	1	GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
宮城県|jr仙台病院	宮城県	JR仙台病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
宮城県|宮城整形外科スポーツウェルネスクリニック	宮城県	宮城整形外科 スポーツ・ウェルネスクリニック	Zimmer Biomet	1	APS	MANUAL_VERIFIED
宮城県|仙台病院	宮城県	独立行政法人地域医療機能推進機構仙台病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
宮城県|関節外科スポーツクリニック石巻	宮城県	関節外科スポーツクリニック石巻	Arthrex	1	ACP	MANUAL_VERIFIED
宮崎県|mスポーツ整形外科クリニック	宮崎県	Mスポーツ整形外科クリニック	Zimmer Biomet	1	GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
宮崎県|あたご整形外科	宮崎県	あたご整形外科	Zimmer Biomet	1	APS	MANUAL_VERIFIED
宮崎県|くもん整形外科スポーツ骨関節クリニック	宮崎県	くもん整形外科 スポーツ・骨関節クリニック	Arthrex	1	ACP	MANUAL_VERIFIED
宮崎県|坂田整形外科クリニック	宮崎県	坂田整形外科クリニック	Arthrex	1	ACP	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
宮崎県|整形外科押領司病院	宮崎県	整形外科 押領司病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED|MANUFACTURER_LOCATOR
宮崎県|橘病院	宮崎県	橘病院	Arthrex	1	ACP	MANUAL_VERIFIED
富山県|整形外科センター西能クリニック	富山県	整形外科センター西能クリニック	Arthrex|Zimmer Biomet	2	ACP|APS	MANUAL_VERIFIED
山口県|宇部興産中央病院	山口県	医療法人社団 宇部興産中央病院	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
山口県|季朋会王司病院	山口県	医療法人社団季朋会 王司病院	ESTAR Technologies|Zimmer Biomet	2	GPS|GPS|MyCells|MyCells	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
山口県|山口県厚生農業協同組合連合会小郡第一総合病院	山口県	山口県厚生農業協同組合連合会 小郡第一総合病院	Zimmer Biomet	1	APS|GPS	MHLW_FULL
山形県|徳洲会山形徳洲会病院	山形県	医療法人徳洲会 山形徳洲会病院	Arthrex|Zimmer Biomet	2	ACP|APS	MANUAL_VERIFIED
山形県|山形大学医学部附属病院	山形県	国立大学法人山形大学医学部附属病院	Arthrex	1	ACP	MANUAL_VERIFIED
山形県|志田整形外科医院	山形県	志田整形外科医院	Arthrex	1	ACP	MANUAL_VERIFIED
山梨県|市立甲府病院	山梨県	市立甲府病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
山梨県|東甲府医院	山梨県	東甲府医院	Zimmer Biomet	1	APS	MANUFACTURER_LOCATOR
山梨県|山梨病院	山梨県	独立行政法人地域医療機能推進機構 山梨病院	Zimmer Biomet	1	APS	MANUFACTURER_LOCATOR
山梨県|加納岩加納岩総合病院	山梨県	社会医療法人加納岩 加納岩総合病院	Arthrex	1	ACP|ACP|Arthrex	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
岐阜県|radiantclinic	岐阜県	Radiant Clinic	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
岐阜県|東海中央病院	岐阜県	公立学校共済組合 東海中央病院	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
岐阜県|ごとう整形外科	岐阜県	医療法人ごとう整形外科	Arthrex	1	ACP	MANUAL_VERIFIED
岐阜県|豊正会大垣中央病院	岐阜県	医療法人社団 豊正会 大垣中央病院	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
岐阜県|岐阜大学医学部附属病院	岐阜県	岐阜大学医学部附属病院	Zimmer Biomet	1	GPS|GPS|Zimmer	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
岐阜県|森整形外科リハビリクリニック	岐阜県	森整形外科リハビリクリニック	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
岐阜県|美濃整形外科	岐阜県	美濃整形外科	Arthrex|Zimmer Biomet	2	ACP|ACP|APS|GPS|APS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
岡山県|あゆみ整形ハンドクリニック	岡山県	あゆみ整形ハンドクリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
岡山県|河合会新倉敷メディカルスクエア	岡山県	医療法人社団河合会 新倉敷メディカルスクエア	Zimmer Biomet	1	APS	MANUAL_VERIFIED
岩手県|いわてスポーツ整形外科クリニック	岩手県	いわてスポーツ・整形外科クリニック	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
岩手県|盛岡ふじさわ整形外科クリニック	岩手県	盛岡ふじさわ整形外科クリニック	Zimmer Biomet	1	APS	MANUAL_VERIFIED
島根県|やまもと整形外科クリニック	島根県	やまもと整形外科クリニック	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
広島県|かたひざこしのクリニック福山かたひざこしのクリニック	広島県	医療法人かたひざこしのクリニック 福山かた・ひざ・こしのクリニック	Arthrex|京セラ	2	ACP|Condensia	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
広島県|エムエム会マッターホルンリハビリテーション病院	広島県	医療法人エム・エム会 マッターホルンリハビリテーション病院	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
広島県|昭和原田整形外科病院	広島県	医療法人昭和 原田整形外科病院	Arthrex	1	ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
広島県|まりも会ヒロシマ平松病院	広島県	医療法人社団まりも会 ヒロシマ平松病院	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS|GPS|Zimmer	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
広島県|成和会うたのはら整形外科クリニック	広島県	医療法人社団成和会 うたのはら整形外科クリニック	Arthrex	1	ACP	MANUAL_VERIFIED
広島県|龍樹会池田整形外科リハビリテーションクリニック	広島県	医療法人龍樹会 池田整形外科リハビリテーションクリニック	Zimmer Biomet	1	APS	MANUAL_VERIFIED
広島県|大田クリニック整形外科	広島県	大田クリニック整形外科	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
広島県|寛田クリニック	広島県	寛田クリニック	Arthrex|Zimmer Biomet	2	ACP|ACP MAX|APS|Angel	MANUAL_VERIFIED|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
広島県|労働者健康安全機構中国労災病院	広島県	独立行政法人労働者健康安全機構 中国労災病院	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
広島県|里仁会興生総合病院	広島県	社会医療法人里仁会 興生総合病院	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
徳島県|やましろクリニック	徳島県	やましろクリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
徳島県|おおた整形外科クリニック	徳島県	医療法人おおた整形外科クリニック	Zimmer Biomet	1	APS|APS|GPS|Zimmer|GPS|GPS|Zimmer	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
徳島県|メディカルトラスト髙木整形外科医院	徳島県	医療法人メディカルトラスト 髙木整形外科医院	Arthrex|Zimmer Biomet	2	ACP|ACP|APS|GPS|Zimmer|ACP|GPS|Zimmer|Arthrex|APS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
愛媛県|住友別子病院	愛媛県	住友別子病院	Arthrex	1	ACP	MANUAL_VERIFIED
愛媛県|丸石整形外科医院	愛媛県	医療法人 丸石整形外科医院	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
愛媛県|鎌野病院	愛媛県	医療法人 鎌野病院	Arthrex	1	ACP|ACP-PRP	MANUAL_VERIFIED|MANUFACTURER_LOCATOR
愛媛県|大野醫院おおの整形外科内科医院	愛媛県	医療法人大野醫院 おおの整形外科内科医院	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
愛媛県|愛媛大学医学部附属病院	愛媛県	愛媛大学医学部附属病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
愛媛県|石川記念会hito病院	愛媛県	社会医療法人石川記念会 HITO病院	Zimmer Biomet	1	APS|APS|GPS	MANUFACTURER_LOCATOR|MHLW_FULL
愛知県|あいせい紀年病院	愛知県	あいせい紀年病院	Arthrex	1	ACP|ACP-PRP	MANUAL_VERIFIED|MANUFACTURER_LOCATOR
愛知県|ふくの森リハビリ整形外科	愛知県	ふくの森リハビリ整形外科	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
愛知県|リジェネレーションクリニック	愛知県	リジェネレーションクリニック	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
愛知県|伊藤整形内科あいちスポーツ人工関節クリニック	愛知県	伊藤整形・内科 あいちスポーツ人工関節クリニック	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
愛知県|豊田整形外科	愛知県	医療法人 豊田整形外科	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
愛知県|健整会みかわ整形外科	愛知県	医療法人健整会 みかわ整形外科	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
愛知県|桂名会重工大須病院	愛知県	医療法人桂名会 重工大須病院	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
愛知県|紫雪会えさき整形外科リウマチ科	愛知県	医療法人紫雪会 えさき整形外科リウマチ科	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
愛知県|絢南会かすがい関節スポーツ整形外科いたみのクリニック	愛知県	医療法人絢南会    かすがい関節・スポーツ整形外科いたみのクリニック	Arthrex|DSM Biomedical|Zimmer Biomet	3	ACP|APS|GPS|PEAK	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
愛知県|水谷整形外科内科クリニック	愛知県	水谷整形外科・内科クリニック	Arthrex|Zimmer Biomet	2	ACP|ACP|Angel|APS|Angel	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
愛知県|瀬戸にしな整形外科クリニック	愛知県	瀬戸にしな整形外科クリニック	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
愛知県|米田病院	愛知県	米田病院	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
愛知県|蒲郡市民病院	愛知県	蒲郡市民病院	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
愛知県|藤田医科大学病院	愛知県	藤田医科大学病院	Zimmer Biomet	1	APS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
新潟県|kosmiこん整形外科クリニック	新潟県	医療法人社団KOSMI こん整形外科クリニック	Arthrex	1	ACP|ACP MAX|ACP MAX|ACP	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
新潟県|ibisこばり坂クリニック	新潟県	医療法人社団ibis こばり坂クリニック	Arthrex|Zimmer Biomet	2	ACP|APS|GPS|APS	MANUFACTURER_LOCATOR|MHLW_FULL
